ปีเดือน,รหัสจังหวัด,ชื่อจังหวัด,รหัสสำนักทะเบียน,ชื่อสำนักทะเบียน,รหัสตำบล,ชื่อตำบล,จำนวนประชากรชายทั้งหมด,จำนวนประชากรหญิงทั้งหมด,ผลรวมประชากรทั้งหมด,Calculated Total Population,Difference,Generation Z,Millennials,Generation X,Baby Boomers,Silent Generation
6705.0,50.0,จังหวัดเชียงใหม่,5001.0,อำเภอเมืองเชียงใหม่,500107.0,ตำบลช้างเผือก,"1,061","1,004",0.0,1936.0,-1936.0,113.0,508.0,394.0,321.0,80.0
6705.0,50.0,จังหวัดเชียงใหม่,5001.0,อำเภอเมืองเชียงใหม่,500116.0,ตำบลสันผีเสื้อ,"5,921","6,928",0.0,12565.0,-12565.0,470.0,2831.0,3307.0,3192.0,721.0
6705.0,50.0,จังหวัดเชียงใหม่,5002.0,อำเภอจอมทอง,500203.0,ตำบลบ้านหลวง,"6,803","6,897",0.0,13326.0,-13326.0,685.0,3203.0,3078.0,2618.0,686.0
6705.0,50.0,จังหวัดเชียงใหม่,5002.0,อำเภอจอมทอง,500204.0,ตำบลข่วงเปา,"2,915","3,054",0.0,5925.0,-5925.0,229.0,1284.0,1475.0,1594.0,410.0
6705.0,50.0,จังหวัดเชียงใหม่,5002.0,อำเภอจอมทอง,500205.0,ตำบลสบเตี๊ยะ,"5,506","6,089",0.0,11560.0,-11560.0,384.0,2208.0,2615.0,3702.0,1110.0
6705.0,50.0,จังหวัดเชียงใหม่,5002.0,อำเภอจอมทอง,500206.0,ตำบลบ้านแปะ,"5,906","6,130",0.0,12017.0,-12017.0,530.0,2543.0,2611.0,3204.0,847.0
6705.0,50.0,จังหวัดเชียงใหม่,5002.0,อำเภอจอมทอง,500207.0,ตำบลดอยแก้ว,"2,079","2,115",0.0,4182.0,-4182.0,210.0,976.0,1034.0,879.0,215.0
6705.0,50.0,จังหวัดเชียงใหม่,5002.0,อำเภอจอมทอง,500209.0,ตำบลแม่สอย,"4,576","4,660",0.0,9208.0,-9208.0,501.0,2055.0,2112.0,2217.0,573.0
6705.0,50.0,จังหวัดเชียงใหม่,5003.0,อำเภอแม่แจ่ม,500301.0,ตำบลช่างเคิ่ง,"3,787","3,806",0.0,7423.0,-7423.0,284.0,1495.0,1781.0,2083.0,561.0
6705.0,50.0,จังหวัดเชียงใหม่,5003.0,อำเภอแม่แจ่ม,500302.0,ตำบลท่าผา,"2,409","2,499",0.0,4861.0,-4861.0,222.0,989.0,1153.0,1336.0,406.0
6705.0,50.0,จังหวัดเชียงใหม่,5003.0,อำเภอแม่แจ่ม,500303.0,ตำบลบ้านทับ,"3,421","3,206",0.0,6590.0,-6590.0,486.0,2033.0,1329.0,867.0,231.0
6705.0,50.0,จังหวัดเชียงใหม่,5003.0,อำเภอแม่แจ่ม,500304.0,ตำบลแม่ศึก,"6,898","6,414",0.0,13070.0,-13070.0,948.0,3771.0,2592.0,1665.0,501.0
6705.0,50.0,จังหวัดเชียงใหม่,5003.0,อำเภอแม่แจ่ม,500305.0,ตำบลแม่นาจร,"5,811","5,601",0.0,11287.0,-11287.0,701.0,3063.0,2503.0,1795.0,479.0
6705.0,50.0,จังหวัดเชียงใหม่,5003.0,อำเภอแม่แจ่ม,500307.0,ตำบลปางหินฝน,"3,814","3,750",0.0,7532.0,-7532.0,535.0,2234.0,1487.0,961.0,298.0
6705.0,50.0,จังหวัดเชียงใหม่,5003.0,อำเภอแม่แจ่ม,500308.0,ตำบลกองแขก,"3,321","3,289",0.0,6531.0,-6531.0,378.0,1507.0,1605.0,1271.0,333.0
6705.0,50.0,จังหวัดเชียงใหม่,5004.0,อำเภอเชียงดาว,500401.0,ตำบลเชียงดาว,"6,884","7,208",0.0,10107.0,-10107.0,475.0,2282.0,2151.0,2736.0,614.0
6705.0,50.0,จังหวัดเชียงใหม่,5004.0,อำเภอเชียงดาว,500404.0,ตำบลแม่นะ,"4,846","5,034",0.0,8750.0,-8750.0,353.0,1708.0,1848.0,2668.0,673.0
6705.0,50.0,จังหวัดเชียงใหม่,5004.0,อำเภอเชียงดาว,500405.0,ตำบลเมืองคอง,"1,917","1,958",0.0,3448.0,-3448.0,191.0,720.0,812.0,768.0,215.0
6705.0,50.0,จังหวัดเชียงใหม่,5005.0,อำเภอดอยสะเก็ด,500503.0,ตำบลลวงเหนือ,"2,791","3,180",0.0,5897.0,-5897.0,211.0,1066.0,1461.0,1852.0,522.0
6705.0,50.0,จังหวัดเชียงใหม่,5005.0,อำเภอดอยสะเก็ด,500504.0,ตำบลป่าป้อง,"2,155","2,328",0.0,4375.0,-4375.0,149.0,892.0,984.0,1263.0,364.0
6705.0,50.0,จังหวัดเชียงใหม่,5005.0,อำเภอดอยสะเก็ด,500505.0,ตำบลสง่าบ้าน,959,"1,085",0.0,2023.0,-2023.0,64.0,348.0,479.0,664.0,233.0
6705.0,50.0,จังหวัดเชียงใหม่,5005.0,อำเภอดอยสะเก็ด,500506.0,ตำบลป่าลาน,"1,074","1,238",0.0,2280.0,-2280.0,80.0,482.0,558.0,659.0,160.0
6705.0,50.0,จังหวัดเชียงใหม่,5005.0,อำเภอดอยสะเก็ด,500507.0,ตำบลตลาดขวัญ,"2,014","2,519",0.0,4399.0,-4399.0,184.0,1067.0,1123.0,1115.0,291.0
6705.0,50.0,จังหวัดเชียงใหม่,5005.0,อำเภอดอยสะเก็ด,500508.0,ตำบลสำราญราษฎร์,"2,011","2,282",0.0,4201.0,-4201.0,151.0,999.0,940.0,1183.0,277.0
6705.0,50.0,จังหวัดเชียงใหม่,5005.0,อำเภอดอยสะเก็ด,500509.0,ตำบลแม่คือ,"3,125","3,525",0.0,6568.0,-6568.0,233.0,1561.0,1700.0,1685.0,350.0
6705.0,50.0,จังหวัดเชียงใหม่,5005.0,อำเภอดอยสะเก็ด,500510.0,ตำบลตลาดใหญ่,"1,619","1,849",0.0,3436.0,-3436.0,120.0,691.0,783.0,1126.0,290.0
6705.0,50.0,จังหวัดเชียงใหม่,5005.0,อำเภอดอยสะเก็ด,500511.0,ตำบลแม่ฮ้อยเงิน,"1,664","1,813",0.0,3458.0,-3458.0,103.0,704.0,786.0,1195.0,241.0
6705.0,50.0,จังหวัดเชียงใหม่,5005.0,อำเภอดอยสะเก็ด,500512.0,ตำบลแม่โป่ง,"2,684","2,838",0.0,5491.0,-5491.0,206.0,1099.0,1280.0,1832.0,311.0
6705.0,50.0,จังหวัดเชียงใหม่,5005.0,อำเภอดอยสะเก็ด,500513.0,ตำบลป่าเมี่ยง,"1,705","1,695",0.0,3317.0,-3317.0,141.0,680.0,776.0,1010.0,248.0
6705.0,50.0,จังหวัดเชียงใหม่,5005.0,อำเภอดอยสะเก็ด,500514.0,ตำบลเทพเสด็จ,900,845,0.0,1483.0,-1483.0,54.0,293.0,332.0,484.0,124.0
6705.0,50.0,จังหวัดเชียงใหม่,5006.0,อำเภอแม่แตง,500602.0,ตำบลแม่แตง,"2,486","2,417",0.0,3736.0,-3736.0,157.0,699.0,877.0,1206.0,289.0
6705.0,50.0,จังหวัดเชียงใหม่,5006.0,อำเภอแม่แตง,500603.0,ตำบลขี้เหล็ก,"4,642","5,007",0.0,7568.0,-7568.0,341.0,1568.0,1737.0,2046.0,480.0
6705.0,50.0,จังหวัดเชียงใหม่,5006.0,อำเภอแม่แตง,500605.0,ตำบลแม่หอพระ,"2,562","2,739",0.0,5157.0,-5157.0,158.0,1012.0,1176.0,1794.0,393.0
6705.0,50.0,จังหวัดเชียงใหม่,5006.0,อำเภอแม่แตง,500606.0,ตำบลสบเปิง,"3,757","3,817",0.0,7122.0,-7122.0,287.0,1469.0,1600.0,2024.0,448.0
6705.0,50.0,จังหวัดเชียงใหม่,5006.0,อำเภอแม่แตง,500607.0,ตำบลบ้านเป้า,"2,033","2,153",0.0,3641.0,-3641.0,146.0,733.0,807.0,1156.0,221.0
6705.0,50.0,จังหวัดเชียงใหม่,5006.0,อำเภอแม่แตง,500608.0,ตำบลสันป่ายาง,"2,561","2,694",0.0,3402.0,-3402.0,104.0,675.0,733.0,1146.0,250.0
6705.0,50.0,จังหวัดเชียงใหม่,5006.0,อำเภอแม่แตง,500609.0,ตำบลป่าแป๋,"3,068","2,943",0.0,5505.0,-5505.0,260.0,1115.0,1340.0,1515.0,363.0
6705.0,50.0,จังหวัดเชียงใหม่,5006.0,อำเภอแม่แตง,500610.0,ตำบลเมืองก๋าย,879,828,0.0,1539.0,-1539.0,78.0,328.0,307.0,394.0,88.0
6705.0,50.0,จังหวัดเชียงใหม่,5006.0,อำเภอแม่แตง,500611.0,ตำบลบ้านช้าง,"2,119","2,129",0.0,3257.0,-3257.0,194.0,702.0,767.0,804.0,171.0
6705.0,50.0,จังหวัดเชียงใหม่,5006.0,อำเภอแม่แตง,500612.0,ตำบลกื้ดช้าง,"2,856","2,734",0.0,5142.0,-5142.0,305.0,1261.0,1188.0,1000.0,244.0
6705.0,50.0,จังหวัดเชียงใหม่,5006.0,อำเภอแม่แตง,500613.0,ตำบลอินทขิล,"2,614","2,627",0.0,4036.0,-4036.0,215.0,916.0,825.0,914.0,243.0
6705.0,50.0,จังหวัดเชียงใหม่,5007.0,อำเภอแม่ริม,500702.0,ตำบลริมเหนือ,"2,971","2,857",0.0,3641.0,-3641.0,132.0,917.0,828.0,1066.0,275.0
6705.0,50.0,จังหวัดเชียงใหม่,5007.0,อำเภอแม่ริม,500703.0,ตำบลสันโป่ง,"5,042","5,927",0.0,10803.0,-10803.0,411.0,2047.0,2609.0,3246.0,849.0
6705.0,50.0,จังหวัดเชียงใหม่,5007.0,อำเภอแม่ริม,500704.0,ตำบลขี้เหล็ก,"3,660","3,887",0.0,7417.0,-7417.0,293.0,1407.0,1741.0,2333.0,592.0
6705.0,50.0,จังหวัดเชียงใหม่,5007.0,อำเภอแม่ริม,500705.0,ตำบลสะลวง,"2,390","2,448",0.0,4549.0,-4549.0,183.0,928.0,1028.0,1306.0,348.0
6705.0,50.0,จังหวัดเชียงใหม่,5007.0,อำเภอแม่ริม,500706.0,ตำบลห้วยทราย,"2,371","2,518",0.0,4407.0,-4407.0,195.0,777.0,1074.0,1338.0,384.0
6705.0,50.0,จังหวัดเชียงใหม่,5007.0,อำเภอแม่ริม,500707.0,ตำบลแม่แรม,"4,881","5,187",0.0,9130.0,-9130.0,427.0,2099.0,1948.0,1965.0,438.0
6705.0,50.0,จังหวัดเชียงใหม่,5007.0,อำเภอแม่ริม,500708.0,ตำบลโป่งแยง,"5,694","5,619",0.0,9130.0,-9130.0,592.0,2262.0,1880.0,1609.0,312.0
6705.0,50.0,จังหวัดเชียงใหม่,5007.0,อำเภอแม่ริม,500709.0,ตำบลแม่สา,"2,859","2,985",0.0,5740.0,-5740.0,234.0,1428.0,1290.0,1612.0,411.0
6705.0,50.0,จังหวัดเชียงใหม่,5007.0,อำเภอแม่ริม,500710.0,ตำบลดอนแก้ว,"7,995","8,010",0.0,15623.0,-15623.0,1427.0,3933.0,3294.0,3520.0,904.0
6705.0,50.0,จังหวัดเชียงใหม่,5007.0,อำเภอแม่ริม,500711.0,ตำบลเหมืองแก้ว,"3,239","3,835",0.0,6806.0,-6806.0,275.0,1447.0,1638.0,1976.0,445.0
6705.0,50.0,จังหวัดเชียงใหม่,5008.0,อำเภอสะเมิง,500802.0,ตำบลสะเมิงเหนือ,"1,572","1,515",0.0,3022.0,-3022.0,110.0,496.0,744.0,1017.0,261.0
6705.0,50.0,จังหวัดเชียงใหม่,5008.0,อำเภอสะเมิง,500803.0,ตำบลแม่สาบ,"1,636","1,601",0.0,3213.0,-3213.0,147.0,631.0,708.0,930.0,287.0
6705.0,50.0,จังหวัดเชียงใหม่,5008.0,อำเภอสะเมิง,500804.0,ตำบลบ่อแก้ว,"4,282","4,114",0.0,8179.0,-8179.0,460.0,2006.0,1834.0,1395.0,369.0
6705.0,50.0,จังหวัดเชียงใหม่,5008.0,อำเภอสะเมิง,500805.0,ตำบลยั้งเมิน,"1,813","1,759",0.0,3558.0,-3558.0,185.0,757.0,844.0,814.0,244.0
6705.0,50.0,จังหวัดเชียงใหม่,5009.0,อำเภอฝาง,500901.0,ตำบลเวียง,"9,962","9,966",0.0,14608.0,-14608.0,809.0,3170.0,3073.0,3530.0,682.0
6705.0,50.0,จังหวัดเชียงใหม่,5009.0,อำเภอฝาง,500903.0,ตำบลม่อนปิ่น,"10,664","10,876",0.0,12273.0,-12273.0,913.0,3070.0,2010.0,2248.0,519.0
6705.0,50.0,จังหวัดเชียงใหม่,5009.0,อำเภอฝาง,500904.0,ตำบลแม่งอน,"8,363","8,325",0.0,11182.0,-11182.0,715.0,2765.0,2057.0,2674.0,436.0
6705.0,50.0,จังหวัดเชียงใหม่,5009.0,อำเภอฝาง,500905.0,ตำบลแม่สูน,"7,129","7,293",0.0,11640.0,-11640.0,570.0,2317.0,2340.0,3522.0,850.0
6705.0,50.0,จังหวัดเชียงใหม่,5009.0,อำเภอฝาง,500906.0,ตำบลสันทราย,"5,304","5,729",0.0,10226.0,-10226.0,398.0,1946.0,2235.0,3278.0,871.0
6705.0,50.0,จังหวัดเชียงใหม่,5009.0,อำเภอฝาง,500910.0,ตำบลแม่คะ,"7,464","7,474",0.0,11680.0,-11680.0,640.0,2599.0,2331.0,2756.0,571.0
6705.0,50.0,จังหวัดเชียงใหม่,5009.0,อำเภอฝาง,500911.0,ตำบลแม่ข่า,"3,700","3,933",0.0,6672.0,-6672.0,271.0,1326.0,1345.0,2067.0,509.0
6705.0,50.0,จังหวัดเชียงใหม่,5009.0,อำเภอฝาง,500912.0,ตำบลโป่งน้ำร้อน,"3,166","3,193",0.0,4197.0,-4197.0,244.0,897.0,830.0,1117.0,208.0
6705.0,50.0,จังหวัดเชียงใหม่,5010.0,อำเภอแม่อาย,501001.0,ตำบลแม่อาย,"2,164","2,047",0.0,2864.0,-2864.0,215.0,674.0,520.0,416.0,99.0
6705.0,50.0,จังหวัดเชียงใหม่,5010.0,อำเภอแม่อาย,501002.0,ตำบลแม่สาว,"6,137","6,334",0.0,10459.0,-10459.0,527.0,2193.0,1957.0,2761.0,616.0
6705.0,50.0,จังหวัดเชียงใหม่,5010.0,อำเภอแม่อาย,501003.0,ตำบลสันต้นหมื้อ,"2,945","3,134",0.0,5473.0,-5473.0,212.0,1010.0,1161.0,1908.0,437.0
6705.0,50.0,จังหวัดเชียงใหม่,5010.0,อำเภอแม่อาย,501004.0,ตำบลแม่นาวาง,"7,661","7,531",0.0,13326.0,-13326.0,804.0,2918.0,2641.0,2835.0,716.0
6705.0,50.0,จังหวัดเชียงใหม่,5010.0,อำเภอแม่อาย,501005.0,ตำบลท่าตอน,"10,865","10,941",0.0,17504.0,-17504.0,1078.0,4346.0,3611.0,2998.0,667.0
6705.0,50.0,จังหวัดเชียงใหม่,5010.0,อำเภอแม่อาย,501006.0,ตำบลบ้านหลวง,"3,913","3,867",0.0,6904.0,-6904.0,438.0,1530.0,1397.0,1470.0,316.0
6705.0,50.0,จังหวัดเชียงใหม่,5010.0,อำเภอแม่อาย,501007.0,ตำบลมะลิกา,455,419,874.0,535.0,339.0,38.0,116.0,97.0,94.0,43.0
6705.0,50.0,จังหวัดเชียงใหม่,5011.0,อำเภอพร้าว,501103.0,ตำบลป่าตุ้ม,"2,547","2,666",0.0,5150.0,-5150.0,241.0,1070.0,1154.0,1426.0,358.0
6705.0,50.0,จังหวัดเชียงใหม่,5011.0,อำเภอพร้าว,501104.0,ตำบลป่าไหน่,"2,124","2,146",0.0,4108.0,-4108.0,171.0,844.0,817.0,1308.0,324.0
6705.0,50.0,จังหวัดเชียงใหม่,5011.0,อำเภอพร้าว,501105.0,ตำบลสันทราย,"3,028","3,106",0.0,6081.0,-6081.0,258.0,1233.0,1348.0,1850.0,439.0
6705.0,50.0,จังหวัดเชียงใหม่,5011.0,อำเภอพร้าว,501106.0,ตำบลบ้านโป่ง,"1,687","1,783",0.0,3458.0,-3458.0,112.0,648.0,733.0,1277.0,278.0
6705.0,50.0,จังหวัดเชียงใหม่,5011.0,อำเภอพร้าว,501107.0,ตำบลน้ำแพร่,"1,564","1,657",0.0,3072.0,-3072.0,110.0,626.0,677.0,903.0,259.0
6705.0,50.0,จังหวัดเชียงใหม่,5011.0,อำเภอพร้าว,501108.0,ตำบลเขื่อนผาก,"2,204","2,302",0.0,4390.0,-4390.0,150.0,891.0,864.0,1556.0,364.0
6705.0,50.0,จังหวัดเชียงใหม่,5011.0,อำเภอพร้าว,501109.0,ตำบลแม่แวน,"2,517","2,562",0.0,5008.0,-5008.0,195.0,1106.0,1057.0,1469.0,403.0
6705.0,50.0,จังหวัดเชียงใหม่,5011.0,อำเภอพร้าว,501111.0,ตำบลโหล่งขอด,"2,184","2,178",0.0,4339.0,-4339.0,151.0,767.0,873.0,1682.0,379.0
6705.0,50.0,จังหวัดเชียงใหม่,5012.0,อำเภอสันป่าตอง,501201.0,ตำบลยุหว่า,"4,645","5,349",0.0,9760.0,-9760.0,367.0,1862.0,2177.0,3098.0,898.0
6705.0,50.0,จังหวัดเชียงใหม่,5012.0,อำเภอสันป่าตอง,501202.0,ตำบลสันกลาง,"2,926","3,209",0.0,6045.0,-6045.0,230.0,1297.0,1472.0,1706.0,435.0
6705.0,50.0,จังหวัดเชียงใหม่,5012.0,อำเภอสันป่าตอง,501203.0,ตำบลท่าวังพร้าว,808,887,0.0,1692.0,-1692.0,63.0,336.0,344.0,557.0,201.0
6705.0,50.0,จังหวัดเชียงใหม่,5012.0,อำเภอสันป่าตอง,501204.0,ตำบลมะขามหลวง,"2,206","2,558",0.0,4747.0,-4747.0,140.0,916.0,965.0,1612.0,509.0
6705.0,50.0,จังหวัดเชียงใหม่,5012.0,อำเภอสันป่าตอง,501205.0,ตำบลแม่ก๊า,"3,234","3,695",0.0,6901.0,-6901.0,216.0,1377.0,1464.0,2316.0,674.0
6705.0,50.0,จังหวัดเชียงใหม่,5012.0,อำเภอสันป่าตอง,501206.0,ตำบลบ้านแม,"2,877","3,323",0.0,6179.0,-6179.0,181.0,1098.0,1387.0,2053.0,670.0
